prefecture,flavor,link,img_link
 HOKKAIDO,とうきびとミルクのクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/hokkaido/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_01.png
 AOMORI,ストロベリーにりんごとミルクのやさしい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/aomori/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_02.png
 IWATE,抹茶とゴマのめんこい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/iwate/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_03.png
 MIYAGI,ずんだ餡と抹茶の組み合わせが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/miyagi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_04.png
 AKITA,甘みと塩味の組み合わせが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/akita/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_05.png
 YAMAGATA,口いっぱいに広がるラ・フランスのまろやかな甘味,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/yamagata/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_06.png
 FUKUSHIMA,トロピカルなフルーツの味わいにピーチ果肉の食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/fukushima/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_07.png
 IBARAKI,メロンとミルクのクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/ibaraki/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_08.png
 TOCHIGI,口の中ではじけるキャンディが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tochigi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_09.png
 GUNMA,ヨーグルトの爽やかさとマンゴーのトロピカルな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/gunma/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_10.png
 SAITAMA,ストロベリーとシトラスの色鮮やかな組み合わせ,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/saitama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_11.png
 CHIBA,みたらしの甘さとコーヒーの香ばしさが楽しめる味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/chiba/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_12.png
 TOKYO,キャラメルとコーヒーのベストな組み合わせ,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tokyo/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_13.png
 KANAGAWA,シトラスの爽やかさとミルクの優しい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kanagawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_14.png
 NIIGATA,チョコレートの味わいと柿の種の食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/niigata/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_15.png
 TOYAMA,スイカジュースとパッションティーの華やかな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/toyama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_16.png
 ISHIKAWA,棒ほうじ茶のやわらかな香ばしさと豊かな香り,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/ishikawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_17.png
 FUKUI,抹茶風味にサクサクとした米ポンの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/fukui/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_18.png
 YAMANASHI,みずみずしいぶどうの甘みが存分に楽しめる,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/yamanashi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_19.png
 NAGANO,キャラメルとりんごのデザートのような味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/nagano/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_20.png
